"date","color","site","id","wheel","sex","svl","mass","cycle","CC","CY","YC","CR","RC"
"7/14/2024","red","lomalinda","ANAQ_031_2024_LL",2,"M",6.6,7.6,4,0,1,0,0,0
"7/14/2024","red","lomalinda","ANAQ_031_2024_LL",2,"M",6.6,7.6,5,0,0,0,1,0
"7/14/2024","red","lomalinda","ANAQ_032_2024_LL",1,"M",6.9,9.3,1,0,0,0,1,0
"7/14/2024","red","lomalinda","ANAQ_032_2024_LL",1,"M",6.9,9.3,2,0,0,0,1,0
"7/14/2024","red","lomalinda","ANAQ_032_2024_LL",1,"M",6.9,9.3,3,0,1,0,0,0
"7/14/2024","red","lomalinda","ANAQ_032_2024_LL",1,"M",6.9,9.3,4,0,0,0,0,0
"7/14/2024","red","lomalinda","ANAQ_032_2024_LL",1,"M",6.9,9.3,5,0,1,0,0,0
"7/14/2024","red","lomalinda","ANAQ_033_2024_LL",2,"F",5.6,5.7,1,0,0,0,0,0
"7/14/2024","red","lomalinda","ANAQ_033_2024_LL",2,"F",5.6,5.7,2,0,0,0,0,0
"7/14/2024","red","lomalinda","ANAQ_033_2024_LL",2,"F",5.6,5.7,3,0,0,0,0,0
"7/14/2024","red","lomalinda","ANAQ_033_2024_LL",2,"F",5.6,5.7,4,0,0,0,0,0
"7/14/2024","red","lomalinda","ANAQ_033_2024_LL",2,"F",5.6,5.7,5,0,0,0,0,0
"7/17/2024","red","lascruces","ANAQ_034_2024_LC",1,"M",5.3,5,1,0,0,0,0,0
"7/17/2024","red","lascruces","ANAQ_034_2024_LC",1,"M",5.3,5,2,0,0,0,0,0
"7/17/2024","red","lascruces","ANAQ_034_2024_LC",1,"M",5.3,5,3,0,0,0,0,0
"7/17/2024","red","lascruces","ANAQ_034_2024_LC",1,"M",5.3,5,4,0,0,0,0,0
"7/17/2024","red","lascruces","ANAQ_034_2024_LC",1,"M",5.3,5,5,0,0,0,0,0
"7/16/2024","red","lascruces","ANAQ_035_2024_LC",2,"M",5.7,5.6,1,0,0,0,0,0
"7/17/2024","red","lascruces","ANAQ_035_2024_LC",2,"M",5.7,5.6,2,0,0,0,0,0
"7/17/2024","red","lascruces","ANAQ_035_2024_LC",2,"M",5.7,5.6,3,1,0,0,0,0
"7/17/2024","red","lascruces","ANAQ_035_2024_LC",2,"M",5.7,5.6,4,0,0,0,1,0
"7/17/2024","red","lascruces","ANAQ_035_2024_LC",2,"M",5.7,5.6,5,0,0,1,0,0
"7/17/2024","red","lascruces","ANAQ_036_2024_LC",1,"M",6.4,7.2,1,0,0,0,0,0
"7/17/2024","red","lascruces","ANAQ_036_2024_LC",1,"M",6.4,7.2,2,0,0,0,0,0
"7/17/2024","red","lascruces","ANAQ_036_2024_LC",1,"M",6.4,7.2,3,0,0,0,1,1
"7/17/2024","red","lascruces","ANAQ_036_2024_LC",1,"M",6.4,7.2,4,0,1,0,0,0
"7/17/2024","red","lascruces","ANAQ_036_2024_LC",1,"M",6.4,7.2,5,0,0,0,0,0
"7/17/2024","red","lascruces","ANAQ_037_2024_LC",1,"M",7.1,8.3,1,0,0,0,0,0
"7/17/2024","red","lascruces","ANAQ_037_2024_LC",1,"M",7.1,8.3,2,0,0,0,0,0
"7/17/2024","red","lascruces","ANAQ_037_2024_LC",1,"M",7.1,8.3,3,0,0,0,0,0
"7/17/2024","red","lascruces","ANAQ_037_2024_LC",1,"M",7.1,8.3,4,0,0,0,0,0
"7/17/2024","red","lascruces","ANAQ_037_2024_LC",1,"M",7.1,8.3,5,0,0,0,1,0
"7/17/2024","red","lascruces","ANAQ_038_2024_LC",1,"M",7.3,9.9,1,1,0,1,1,0
"7/17/2024","red","lascruces","ANAQ_038_2024_LC",1,"M",7.3,9.9,2,0,0,0,0,1
"7/17/2024","red","lascruces","ANAQ_038_2024_LC",1,"M",7.3,9.9,3,0,1,0,0,0
"7/17/2024","red","lascruces","ANAQ_038_2024_LC",1,"M",7.3,9.9,4,0,0,0,0,0
"7/17/2024","red","lascruces","ANAQ_038_2024_LC",1,"M",7.3,9.9,5,0,0,0,0,0
"7/17/2024","red","lascruces","ANAQ_039_2024_LC",2,"M",7.1,10,1,0,0,0,1,0
"7/17/2024","red","lascruces","ANAQ_039_2024_LC",2,"M",7.1,10,2,0,1,0,1,0
"7/17/2024","red","lascruces","ANAQ_039_2024_LC",2,"M",7.1,10,3,0,0,0,1,0
"7/17/2024","red","lascruces","ANAQ_039_2024_LC",2,"M",7.1,10,4,0,1,0,0,0
"7/17/2024","red","lascruces","ANAQ_039_2024_LC",2,"M",7.1,10,5,0,0,0,0,0
"7/17/2024","red","lascruces","ANAQ_040_2024_LC",1,"M",4.9,3.5,1,0,0,0,0,0
"7/17/2024","red","lascruces","ANAQ_040_2024_LC",1,"M",4.9,3.5,2,0,0,0,0,0
"7/17/2024","red","lascruces","ANAQ_040_2024_LC",1,"M",4.9,3.5,3,0,0,0,0,0
"7/17/2024","red","lascruces","ANAQ_040_2024_LC",1,"M",4.9,3.5,4,1,0,0,0,0
"7/17/2024","red","lascruces","ANAQ_040_2024_LC",1,"M",4.9,3.5,5,1,0,0,1,0
"7/17/2024","red","lascruces","ANAQ_041_2024_LC",2,"F",6,6.6,1,0,1,0,0,0
"7/17/2024","red","lascruces","ANAQ_041_2024_LC",2,"F",6,6.6,2,0,0,0,0,0
"7/17/2024","red","lascruces","ANAQ_041_2024_LC",2,"F",6,6.6,3,0,0,0,0,0
"7/17/2024","red","lascruces","ANAQ_041_2024_LC",2,"F",6,6.6,4,0,1,0,0,0
"7/17/2024","red","lascruces","ANAQ_041_2024_LC",2,"F",6,6.6,5,0,0,0,0,0
"7/21/2024","red","lascruces","ANAQ_042_2024_LC",1,"M",7.1,9.6,1,0,0,0,0,0
"7/21/2024","red","lascruces","ANAQ_042_2024_LC",1,"M",7.1,9.6,2,0,0,0,1,0
"7/21/2024","red","lascruces","ANAQ_042_2024_LC",1,"M",7.1,9.6,3,0,0,0,0,0
"7/21/2024","red","lascruces","ANAQ_042_2024_LC",1,"M",7.1,9.6,4,0,0,1,0,0
