tray,block,ind,germ,area,cross
lc_2,1,18,1,0.265,bc_lon
lc_2,2,1,1,0.323,bc_lon
lc_2,2,2,1,0.273,bc_lon
lc_2,2,3,0,0.367,bc_lon
lc_2,2,4,0,0.24,bc_lon
lc_2,2,5,1,0.293,bc_lon
lc_2,2,6,1,0.235,bc_lon
lc_2,2,7,1,0.328,bc_lon
lc_2,2,8,1,0.297,bc_lon
lc_2,2,9,1,0.267,bc_lon
lc_2,2,10,1,0.3,bc_lon
lc_2,2,11,0,0.289,bc_lon
lc_2,2,12,1,0.292,bc_lon
lc_2,2,13,1,0.269,bc_lon
lc_2,2,14,1,0.335,bc_lon
lc_2,2,15,1,0.251,bc_lon
lc_2,2,16,1,0.336,bc_lon
lc_2,2,17,0,0.319,bc_lon
lc_2,2,18,0,0.329,bc_lon
lc_2,2,19,0,0.364,bc_lon
lc_2,2,20,1,0.248,bc_lon
lc_2,3,1,1,0.27,f1
lc_2,3,2,1,0.297,f1
lc_2,3,3,1,0.349,f1
lc_2,3,4,1,0.276,f1
lc_2,3,5,1,0.238,f1
lc_2,3,6,1,0.271,f1
lc_2,3,7,1,0.396,f1
lc_2,3,8,1,0.405,f1
lc_2,3,9,1,0.277,f1
lc_2,3,10,0,0.232,f1
lc_2,3,11,1,0.27,f1
lc_2,3,12,1,0.281,f1
lc_2,3,13,1,0.275,f1
lc_2,3,14,1,0.267,f1
lc_2,3,15,1,0.391,f1
lc_2,3,16,1,0.352,f1
lc_2,3,17,1,0.274,f1
lc_2,3,18,1,0.295,f1
lc_2,4,1,1,0.284,cal
lc_2,4,2,1,0.316,cal
lc_2,4,3,1,0.256,cal
lc_2,4,4,0,0.299,cal
lc_2,4,5,1,0.299,cal
lc_2,4,6,1,0.269,cal
lc_2,4,7,0,0.281,cal
lc_2,4,8,1,0.324,cal
lc_2,4,9,1,0.411,cal
lc_2,4,10,1,0.313,cal
lc_2,4,11,1,0.379,cal
lc_2,4,12,1,0.288,cal
lc_2,4,13,1,0.441,cal
lc_2,4,14,1,0.328,cal
lc_2,4,15,0,0.292,cal
lc_2,4,16,1,0.391,cal
lc_2,4,17,1,0.384,cal
lc_2,4,18,1,0.299,cal
lc_2,4,19,1,0.322,cal
lc_2,4,20,1,0.366,cal
lc_2,5,1,1,0.321,f1
lc_2,5,2,0,0.338,f1
lc_2,5,3,1,0.27,f1
lc_2,5,4,0,0.469,f1
lc_2,5,5,1,0.241,f1
lc_2,5,6,1,0.359,f1
lc_2,5,7,1,0.209,f1
lc_2,5,8,1,0.379,f1
lc_2,5,9,1,0.387,f1
lc_2,5,10,1,0.383,f1
lc_2,5,11,1,0.311,f1
lc_2,5,12,1,0.42,f1
lc_2,5,13,1,0.303,f1
lc_2,5,14,1,0.37,f1
lc_2,5,15,1,0.292,f1
lc_2,5,16,1,0.289,f1
lc_2,5,17,0,0.308,f1
lc_2,5,18,1,0.335,f1
lc_2,5,19,0,0.293,f1
lc_2,5,20,0,0.237,f1
lc_2,6,1,0,0.376,cal
lc_2,6,2,1,0.294,cal
lc_2,6,3,1,0.419,cal
lc_2,6,4,1,0.321,cal
lc_2,6,5,1,0.334,cal
lc_2,6,6,1,0.312,cal
lc_2,6,7,1,0.314,cal
lc_2,6,8,1,0.386,cal
lc_2,6,9,1,0.179,cal
lc_2,6,10,1,0.274,cal
lc_2,6,11,1,0.347,cal
lc_2,6,12,1,0.378,cal
lc_2,6,13,1,0.34,cal
lc_2,6,14,1,0.34,cal
lc_2,6,15,1,0.372,cal
lc_2,6,16,1,0.39,cal
lc_2,6,17,1,0.442,cal
lc_2,6,18,1,0.376,cal
lc_2,6,19,0,0.334,cal
lc_2,6,20,1,0.34,cal
lc_2,7,1,1,0.321,lon
lc_2,7,2,0,0.287,lon
lc_2,7,3,0,0.318,lon
lc_2,7,4,1,0.307,lon
lc_2,7,5,1,0.362,lon
lc_2,7,6,1,0.311,lon
lc_2,7,7,1,0.31,lon
lc_2,7,8,1,0.354,lon
lc_2,7,9,1,0.317,lon
lc_2,7,10,1,0.283,lon
lc_2,7,11,1,0.256,lon
lc_2,7,12,1,0.285,lon
lc_2,7,13,1,0.279,lon
lc_2,7,14,1,0.284,lon
lc_2,7,15,1,0.205,lon
lc_2,7,16,1,0.257,lon
lc_2,7,17,0,0.259,lon
lc_2,7,18,1,0.297,lon
lc_2,7,19,1,0.379,lon
lc_2,7,20,1,0.256,lon
lc_2,8,1,1,0.289,f2
lc_2,8,2,1,0.287,f2
lc_2,8,3,1,0.284,f2
lc_2,8,4,1,0.332,f2
lc_2,8,5,1,0.304,f2
lc_2,8,6,1,0.232,f2
lc_2,8,7,1,0.243,f2
lc_2,8,8,1,0.32,f2
lc_2,8,9,1,0.339,f2
lc_2,8,10,1,0.291,f2
lc_2,8,11,1,0.349,f2
lc_2,8,12,1,0.223,f2
lc_2,8,13,1,0.233,f2
lc_2,8,14,0,0.203,f2
lc_2,8,15,1,0.32,f2
lc_2,8,16,1,0.244,f2
lc_2,8,17,0,0.29,f2
lc_2,8,18,1,0.21,f2
lc_2,8,19,0,0.347,f2
lc_2,8,20,1,0.319,f2
lc_2,9,1,1,0.321,bc_cal
lc_2,9,2,1,0.252,bc_cal
lc_2,9,3,1,0.282,bc_cal
lc_2,9,4,1,0.266,bc_cal
lc_2,9,5,1,0.284,bc_cal
lc_2,9,6,1,0.258,bc_cal
lc_2,9,7,0,0.26,bc_cal
lc_2,9,8,1,0.274,bc_cal
lc_2,9,9,1,0.258,bc_cal
lc_2,9,10,1,0.327,bc_cal
lc_2,9,11,1,0.287,bc_cal
lc_2,9,12,1,0.228,bc_cal
lc_2,9,13,1,0.362,bc_cal
lc_2,9,14,1,0.307,bc_cal
lc_2,9,15,1,0.305,bc_cal
lc_2,9,16,1,0.255,bc_cal
lc_2,9,17,1,0.282,bc_cal
lc_2,9,18,1,0.336,bc_cal
lc_2,9,19,1,0.291,bc_cal
lc_2,10,1,1,0.221,lon
lc_2,10,2,1,0.232,lon
lc_2,10,3,1,0.251,lon
lc_2,10,4,0,0.321,lon
lc_2,10,5,1,0.354,lon
lc_2,10,6,0,0.157,lon
lc_2,10,7,1,0.251,lon
lc_2,10,8,0,0.31,lon
lc_2,10,9,1,0.296,lon
lc_2,10,10,1,0.239,lon
lc_2,10,11,1,0.276,lon
lc_2,10,12,0,0.201,lon
lc_2,10,13,0,0.257,lon
lc_2,10,14,1,0.297,lon
lc_2,10,15,0,0.222,lon
lc_2,10,16,1,0.312,lon
lc_2,10,17,1,0.253,lon
lc_2,10,18,1,0.228,lon
lc_2,10,19,1,0.28,lon
lc_2,10,20,0,0.376,lon
lc_2,11,1,1,0.285,f2
lc_2,11,2,0,0.265,f2
lc_2,11,3,1,0.302,f2
lc_2,11,4,1,0.274,f2
lc_2,11,5,1,0.26,f2
lc_2,11,6,1,0.376,f2
lc_2,11,7,0,0.295,f2
lc_2,11,8,1,0.329,f2
lc_2,11,9,0,0.181,f2
lc_2,11,10,0,0.221,f2
lc_2,11,11,1,0.19,f2
lc_2,11,12,1,0.312,f2
lc_2,11,13,1,0.287,f2
lc_2,11,14,0,0.238,f2
lc_2,11,15,1,0.315,f2
lc_2,11,16,1,0.274,f2
lc_2,11,17,1,0.193,f2
lc_2,11,18,1,0.293,f2
lc_2,11,19,1,0.302,f2
lc_2,11,20,1,0.279,f2
lc_2,12,1,1,0.288,bc_cal
lc_2,12,2,1,0.321,bc_cal
lc_2,12,3,1,0.297,bc_cal
lc_2,12,4,1,0.233,bc_cal
lc_2,12,5,1,0.302,bc_cal
lc_2,12,6,1,0.327,bc_cal
lc_2,12,7,1,0.306,bc_cal
lc_2,12,8,1,0.302,bc_cal
lc_2,12,9,0,0.268,bc_cal
lc_2,12,10,1,0.319,bc_cal
lc_2,12,11,1,0.321,bc_cal
lc_2,12,12,1,0.395,bc_cal
lc_2,12,13,1,0.306,bc_cal
lc_2,12,14,1,0.236,bc_cal
lc_2,12,15,1,0.315,bc_cal
lc_2,12,16,1,0.353,bc_cal
lc_2,12,17,1,0.288,bc_cal
lc_2,12,18,1,0.231,bc_cal
lc_2,12,19,1,0.239,bc_cal
lc_2,12,20,1,0.343,bc_cal
lc_3,1,1,1,0.268,bc_cal
lc_3,1,2,1,0.262,bc_cal
lc_3,1,3,1,0.305,bc_cal
lc_3,1,4,1,0.355,bc_cal
lc_3,1,5,1,0.331,bc_cal
lc_3,1,6,0,0.248,bc_cal
lc_3,1,7,1,0.231,bc_cal
lc_3,1,8,0,0.29,bc_cal
lc_3,1,9,1,0.329,bc_cal
lc_3,1,10,1,0.321,bc_cal
lc_3,1,11,1,0.293,bc_cal
lc_3,1,12,1,0.36,bc_cal
lc_3,1,13,0,0.268,bc_cal
lc_3,1,14,1,0.286,bc_cal
lc_3,1,15,1,0.27,bc_cal
lc_3,1,16,1,0.244,bc_cal
lc_3,1,17,0,0.323,bc_cal
lc_3,1,18,0,0.294,bc_cal
lc_3,1,19,1,0.248,bc_cal
lc_3,1,20,1,0.164,bc_cal
lc_3,2,1,0,0.27,bc_cal
lc_3,2,2,1,0.33,bc_cal
lc_3,2,3,1,0.262,bc_cal
lc_3,2,4,1,0.294,bc_cal
lc_3,2,5,1,0.357,bc_cal
lc_3,2,6,1,0.257,bc_cal
lc_3,2,7,1,0.348,bc_cal
lc_3,2,8,1,0.373,bc_cal
lc_3,2,9,0,0.175,bc_cal
lc_3,2,10,1,0.182,bc_cal
lc_3,2,11,1,0.326,bc_cal
lc_3,2,12,1,0.352,bc_cal
lc_3,2,13,1,0.374,bc_cal
lc_3,2,14,1,0.193,bc_cal
lc_3,2,15,0,0.371,bc_cal
lc_3,2,16,0,0.317,bc_cal
lc_3,2,17,0,0.227,bc_cal
lc_3,3,1,1,0.373,f1
lc_3,3,2,0,0.293,f1
lc_3,3,3,1,0.25,f1
lc_3,3,4,1,0.373,f1
lc_3,3,5,1,0.341,f1
lc_3,3,6,1,0.313,f1
lc_3,3,7,0,0.285,f1
lc_3,3,8,1,0.316,f1
lc_3,3,9,1,0.405,f1
lc_3,3,10,1,0.278,f1
lc_3,3,11,1,0.321,f1
lc_3,3,12,1,0.37,f1
lc_3,3,13,1,0.295,f1
lc_3,3,14,1,0.269,f1
lc_3,3,15,1,0.334,f1
lc_3,3,16,1,0.298,f1
lc_3,3,17,0,0.369,f1
lc_3,3,18,1,0.311,f1
lc_3,3,19,0,0.207,f1
lc_3,4,1,0,0.307,f2
lc_3,4,2,0,0.263,f2
lc_3,4,3,1,0.26,f2
lc_3,4,4,1,0.328,f2
lc_3,4,5,1,0.308,f2
lc_3,4,6,1,0.312,f2
lc_3,4,7,1,0.283,f2
lc_3,4,8,1,0.305,f2
lc_3,4,9,1,0.276,f2
lc_3,4,10,1,0.369,f2
lc_3,4,11,1,0.287,f2
lc_3,4,12,1,0.285,f2
lc_3,4,13,1,0.339,f2
lc_3,4,14,1,0.262,f2
lc_3,4,15,1,0.323,f2
lc_3,4,16,1,0.328,f2
lc_3,4,17,1,0.336,f2
lc_3,4,18,1,0.313,f2
lc_3,4,19,1,0.31,f2
lc_3,5,1,1,0.265,lon
lc_3,5,2,1,0.287,lon
lc_3,5,3,0,0.28,lon
lc_3,5,4,1,0.313,lon
lc_3,5,5,1,0.278,lon
lc_3,5,6,1,0.243,lon
lc_3,5,7,1,0.301,lon
lc_3,5,8,0,0.26,lon
lc_3,5,9,1,0.319,lon
lc_3,5,10,1,0.283,lon
lc_3,5,11,0,0.26,lon
lc_3,5,12,1,0.252,lon
lc_3,5,13,1,0.264,lon
lc_3,5,14,0,0.292,lon
lc_3,5,15,1,0.228,lon
lc_3,5,16,0,0.266,lon
lc_3,5,17,0,0.289,lon
lc_3,5,18,0,0.175,lon
lc_3,6,1,1,0.378,lon
lc_3,6,2,0,0.319,lon
lc_3,6,3,0,0.318,lon
lc_3,6,4,1,0.35,lon
lc_3,6,5,0,0.281,lon
lc_3,6,6,1,0.312,lon
lc_3,6,7,0,0.385,lon
lc_3,6,8,1,0.327,lon
lc_3,6,9,0,0.307,lon
lc_3,6,10,1,0.453,lon
lc_3,6,11,1,0.355,lon
lc_3,6,12,0,0.307,lon
lc_3,6,13,0,0.39,lon
lc_3,6,14,1,0.342,lon
lc_3,6,15,1,0.303,lon
lc_3,6,16,1,0.353,lon
lc_3,6,17,0,0.166,lon
lc_3,6,18,0,0.351,lon
lc_3,6,19,1,0.378,lon
lc_3,7,1,1,0.39,bc_lon
lc_3,7,2,1,0.326,bc_lon
lc_3,7,3,0,0.325,bc_lon
lc_3,7,4,1,0.403,bc_lon
lc_3,7,5,0,0.314,bc_lon
lc_3,7,6,1,0.311,bc_lon
lc_3,7,7,1,0.244,bc_lon
lc_3,7,8,1,0.2,bc_lon
lc_3,7,9,0,0.255,bc_lon
lc_3,7,10,1,0.304,bc_lon
lc_3,7,11,0,0.282,bc_lon
lc_3,7,12,0,0.27,bc_lon
lc_3,7,13,0,0.247,bc_lon
lc_3,7,14,1,0.382,bc_lon
lc_3,7,15,1,0.284,bc_lon
lc_3,7,16,0,0.252,bc_lon
lc_3,7,17,0,0.129,bc_lon
lc_3,7,18,1,0.257,bc_lon
lc_3,7,19,0,0.368,bc_lon
lc_3,8,1,0,0.407,f2
lc_3,8,2,1,0.298,f2
lc_3,8,3,1,0.322,f2
lc_3,8,4,1,0.285,f2
lc_3,8,5,1,0.245,f2
lc_3,8,6,1,0.29,f2
lc_3,8,7,0,0.298,f2
lc_3,8,8,0,0.301,f2
lc_3,8,9,1,0.192,f2
lc_3,8,10,0,0.219,f2
lc_3,8,11,0,0.258,f2
lc_3,8,12,0,0.231,f2
lc_3,8,13,1,0.287,f2
lc_3,8,14,1,0.296,f2
lc_3,8,15,1,0.272,f2
lc_3,8,16,1,0.29,f2
lc_3,8,17,1,0.3,f2
lc_3,8,18,0,0.283,f2
lc_3,8,19,0,0.279,f2
lc_3,8,20,1,0.271,f2
lc_3,9,1,1,0.341,bc_lon
lc_3,9,2,1,0.341,bc_lon
lc_3,9,3,0,0.35,bc_lon
lc_3,9,4,0,0.289,bc_lon
lc_3,9,5,1,0.333,bc_lon
lc_3,9,6,1,0.443,bc_lon
lc_3,9,7,1,0.266,bc_lon
lc_3,9,8,1,0.29,bc_lon
lc_3,9,9,1,0.33,bc_lon
lc_3,9,10,0,0.265,bc_lon
lc_3,9,11,1,0.293,bc_lon
lc_3,9,12,1,0.362,bc_lon
